implicit,explicit,raceomb,sex,politics,year,age,education
0.279237866,4.5,6,f,2,2015,18,5
-0.080476341,5,6,f,6,2011,55,10
-0.320516013,5,6,f,2,2015,17,3
0.103794851,6.5,6,m,2,2014,52,9
0.091692909,4,6,m,4,2014,21,5
0.374518559,4,5,m,6,2012,53,7
0.147688299,4,2,f,4,2013,20,5
0.542719869,4,6,f,NA,2014,22,8
0.299967941,4.5,6,f,4,2008,29,7
-0.395783741,4,3,f,4,2012,24,9
0.334165384,5.5,6,f,2,2014,31,7
-0.264269152,5,6,m,6,2010,19,5
0.306957113,4.5,6,f,2,2015,15,3
0.824471604,4,NA,m,4,2013,17,3
0.587203632,4,6,f,4,2011,18,3
0.267789546,4,6,f,6,2010,19,5
0.498546353,4.5,6,f,7,2007,31,7
0.5638049,5,6,f,5,2014,28,3
0.922557391,4.5,6,m,4,2015,25,8
0.508120688,4,6,f,7,2013,30,9
0.506812949,6,6,f,6,2008,19,5
-0.08436481,5.5,6,m,7,2015,30,10
0.743666448,6,1,f,6,2012,16,3
-0.061079191,4,8,f,6,2009,31,5
0.031873374,4,6,f,7,2011,44,10
1.184596936,6,6,m,6,2011,63,10
-0.031855778,4.5,6,f,2,2013,21,7
-0.715670647,4,3,m,4,2014,24,5
0.89776356,4,8,f,NA,2010,16,3
-0.14453056,6.5,6,f,4,2007,18,4
-0.369059087,3,6,m,4,2011,18,4
0.632272212,6,5,f,5,2011,60,10
-0.150778139,4,1,f,4,2007,50,6
0.845707959,4.5,6,f,4,2014,20,5
0.832492986,5.5,6,m,4,2013,46,5
0.846585976,4.5,6,m,7,2015,46,10
0.793359879,5,6,m,4,2014,26,9
0.465948211,4,NA,.,NA,2011,NA,NA
0.746851942,4.5,6,m,6,2007,20,7
0.222396504,4.5,6,f,6,2010,20,5
0.429423224,7,6,m,2,2015,34,8
0.551491307,4,6,f,6,2014,20,5
0.296690411,6.5,6,m,5,2013,17,4
0.769146568,6,6,m,4,2013,50,10
-0.180841177,4,6,f,6,2015,38,10
0.900252083,4,6,f,5,2012,46,7
0.858916848,4,6,f,5,2011,30,6
0.067884958,7,6,m,4,2008,21,6
-0.205133453,4,8,f,6,2008,49,5
0.51243972,6,6,f,4,2011,16,3
0.366990749,4.5,6,f,6,2010,23,8
0.463401336,4.5,8,f,6,2009,18,4
1.187569562,4.5,6,m,4,2009,47,10
0.437750483,6,9,m,2,2010,36,9
-0.398893989,4,6,f,4,2007,19,5
0.604157772,4.5,6,f,6,2009,20,5
0.019662898,4,6,f,7,2013,65,5
0.013313554,4,6,f,4,2011,16,3
0.780229527,6.5,6,f,6,2015,20,7
1.115945239,5.5,9,f,4,2011,20,7
0.164251889,7,5,f,7,2015,42,5
0.444102548,5.5,6,m,6,2007,36,10
0.006602135,2.5,6,f,6,2007,22,8
0.272640575,4,6,f,3,2015,60,8
0.438786946,5,NA,f,NA,2015,17,NA
-0.53923203,4,6,f,4,2008,58,9
0.072231685,4,6,f,7,2009,21,7
0.62780908,5,5,f,6,2015,51,5
0.282778032,6,6,f,3,2013,19,5
-0.168057026,4.5,6,f,4,2015,24,7
0.800837612,4,6,f,4,2007,38,5
-0.018424975,6,6,m,4,2009,15,3
0.509875805,4.5,6,m,6,2013,26,7
0.584199447,4.5,6,f,7,2007,42,6
0.733257749,6,5,m,4,2014,17,4
0.279341404,4,5,f,4,2009,18,5
-0.503888684,4,3,f,6,2015,20,7
-0.285113516,4.5,6,m,7,2009,30,10
0.53021326,4.5,6,f,4,2010,21,5
0.660362731,5,2,f,4,2013,19,5
0.414493349,6,6,m,7,2015,48,10
0.101515977,4,6,f,7,2012,50,7
0.562366989,4,6,m,3,2009,71,10
1.242370809,7,5,m,3,2010,50,9
-0.038332102,4,9,m,4,2009,20,5
0.220653972,5,2,m,7,2007,32,7
0.315784499,5,6,f,2,2010,47,6
0.454622935,5.5,6,f,6,2013,19,5
0.358433374,4,6,f,4,2009,54,7
-0.279593523,6,6,f,4,2011,17,3
0.633806634,5.5,6,f,7,2012,42,9
0.021267268,6,8,f,3,2011,20,5
-0.23126008,4,9,f,4,2007,23,7
-0.13884638,4.5,6,f,4,2011,33,7
0.911521419,5,6,m,6,2011,49,10
0.740382575,4,6,f,7,2014,19,5
0.733124859,4,5,m,7,2014,18,3
-0.05179601,4,6,m,7,2014,23,7
-0.464691266,5,6,f,7,2011,21,5
0.369370188,3.5,6,f,4,2015,13,2
0.521943364,5,6,f,4,2011,19,5
0.845208602,5,6,m,2,2014,18,3
0.572776158,6.5,6,f,3,2008,20,5
0.620670647,4,6,m,7,2012,24,8
0.718341958,5,9,m,2,2012,29,5
0.11142537,4,6,f,4,2011,18,3
0.806740422,6,6,f,3,2010,20,5
0.599101222,5,6,f,7,2011,46,9
0.595171686,4.5,6,f,7,2009,58,9
0.888031576,6,5,f,4,2011,NA,7
0.083726845,5,6,f,4,2009,16,3
0.196252363,4.5,6,f,3,2015,23,7
0.28184758,5,6,f,7,2014,17,4
0.362049487,4.5,6,f,4,2012,32,10
-0.942285927,4.5,6,f,6,2014,20,5
0.100276442,4.5,6,f,2,2012,19,7
0.227105319,5.5,6,f,6,2010,20,5
-0.199863112,4,6,f,6,2014,31,10
0.508348979,3,9,f,1,2012,17,3
0.696665689,7,6,f,7,2012,32,8
1.219651575,4.5,6,f,5,2010,21,5
0.328849771,5,1,f,4,2010,17,3
0.523908978,6.5,8,f,3,2010,19,5
0.00347993,4,7,m,4,2015,17,3
-0.424470028,4.5,6,f,4,2013,19,5
0.707524521,4,6,f,2,2007,28,5
0.058047236,6,NA,.,NA,2011,NA,NA
0.280197456,6,6,f,2,2012,48,6
-0.039622802,4.5,8,m,4,2015,35,5
-0.15052199,4,9,f,2,2014,20,5
0.498753488,6.5,6,f,4,2015,25,5
0.530845707,4.5,6,f,6,2008,20,5
0.267421314,4,6,f,4,2008,23,6
0.704156235,5,6,m,4,2009,19,5
-0.071456517,4,6,f,5,2011,18,3
-0.247882428,5,6,f,6,2015,26,8
0.21548207,4.5,6,f,4,2011,23,8
-0.00535687,5,6,f,4,2012,15,3
