Implicit,Explicit,racenum,sexnum,politics,age,year,education,datecode,numiats,Age_group
-0.06648952477260053,6,6,0,7,29,2010,8,1334,4,2
0.7243316213492634,4,6,0,3,42,2011,7,1741,2,4
0.5779021113493855,6,NA,NA,NA,NA,2017,3,3742,NA,NA
0.30889568115541466,4,4,0,2,19,2009,5,1024,2,1
0.8411289251945262,4,5,1,4,20,2013,5,2510,1,1
-0.04085232842127953,3,5,1,1,39,2008,5,701,2,3
0.2157046031089328,6,5,NA,3,32,2014,6,2580,1,3
1.0822867994797511,6,6,1,4,21,2010,5,1191,2,2
0.6286702256376011,4,6,1,4,28,2012,5,1845,1,2
-0.07899421227884892,5,8,1,6,26,2007,7,163,1,2
-0.6692157769722651,3,6,0,1,41,2016,6,3305,1,4
-0.4199867910189623,7,NA,0,4,17,2011,4,1710,1,1
0.22003953525590636,4,NA,NA,NA,NA,2017,5,3687,NA,NA
0.3074928321670895,4,NA,NA,NA,NA,2017,5,3879,NA,NA
0.7257250514828723,3,6,0,5,21,2012,5,2100,1,2
0.6378549581876016,6,6,1,5,35,2011,9,1542,2,3
0.27931865473175127,5,6,1,4,35,2009,8,739,5,3
-0.011958761348443911,4,6,1,7,16,2007,3,106,3,1
0.4837451936850893,5,NA,NA,NA,NA,2013,NA,2244,NA,NA
0.667205188141044,5,6,1,2,23,2013,8,2253,1,2
-0.6543175009483755,4,6,1,6,50,2013,5,2208,5,4
0.33471751611811135,5,6,1,6,33,2016,9,3377,3,3
0.6723191444211942,4,6,1,2,36,2010,7,1233,1,3
0.34032074712507454,4,6,0,4,23,2015,7,2946,1,2
0.3864204623773293,6,6,1,4,17,2012,4,1960,2,1
0.9458322401462473,6,6,0,4,16,2010,3,1117,3,1
0.6879411112037617,4,8,1,4,17,2012,4,1839,1,1
0.5931389323783842,5,6,1,6,18,2012,3,1912,3,1
0.8844988776401903,6,6,0,6,26,2010,7,1345,1,2
0.3426272334771603,5,6,0,4,28,2013,9,2523,3,2
0.9582576277650767,4,6,1,7,17,2009,3,1039,1,1
0.3074205126034294,6,3,1,2,13,2015,3,3185,2,1
0.3101104648075814,5,6,1,5,23,2016,8,3315,2,2
-0.0403223962443491,4,6,1,4,21,2009,5,947,3,2
1.119249577124541,4,6,0,2,31,2016,5,3418,1,3
0.9614903425556718,5,6,0,5,39,2016,6,3446,1,3
0.10587776678181057,4,NA,NA,NA,NA,2017,9,3957,NA,NA
0.7497952495219558,5,6,0,2,20,2011,7,1627,1,1
-0.1160974449192648,3,6,1,4,39,2012,6,1958,2,3
0.38600221681149044,6,6,1,5,20,2011,5,1489,2,1
0.09899051803507554,7,6,0,4,32,2008,5,527,1,3
1.1254738808479394,5,6,0,7,29,2011,7,1806,1,2
0.42296231680468765,4,NA,NA,NA,NA,2012,NA,1929,NA,NA
0.36419914577257667,4,6,1,3,18,2013,5,2304,1,1
0.46492005965231065,2,NA,NA,NA,NA,2017,9,3974,NA,NA
0.24247275132512464,4,8,1,2,17,2009,3,859,3,1
0.08087911363166927,4,NA,NA,NA,NA,2017,9,3684,NA,NA
0.5396783362178551,4,6,0,4,18,2011,3,1548,3,1
0.5410959235951556,5,6,0,4,58,2011,5,1694,2,5
0.5266142412293622,5,6,1,3,17,2009,4,1024,2,1
0.5775968813384911,4,NA,NA,NA,NA,2017,7,3971,NA,NA
0.014154067916202245,2,NA,NA,NA,NA,2017,7,3994,NA,NA
0.22913991555932223,4,7,1,4,28,2013,5,2341,1,2
0.41727488694111886,5,6,0,4,18,2013,3,2532,2,1
0.6511831987075004,4,6,1,7,19,2014,5,2900,1,1
0.25553630024136686,4,6,1,7,20,2010,5,1415,4,1
0.5216456072001994,5,6,1,6,16,2009,3,991,3,1
0.8996253257630618,5,6,0,3,21,2009,7,854,1,2
-0.02957063416253647,4,6,1,2,49,2009,8,1038,1,4
0.9022679765930912,6,NA,NA,NA,NA,2012,NA,1944,NA,NA
0.009867336591110845,4,8,1,6,23,2008,5,481,1,2
1.0961589749093357,3,NA,NA,NA,NA,2017,4,3906,NA,NA
0.11974844721074904,4,9,1,4,18,2014,5,2900,1,1
0.6670590706957148,4,6,0,2,22,2015,7,3169,1,2
0.30925176874857063,5,6,0,6,18,2014,3,2887,4,1
0.3864164052504189,3,6,0,2,20,2011,5,1722,1,1
0.10136163763978905,3,6,1,6,18,2016,5,3334,2,1
0.5560942295998782,4,9,1,4,33,2014,5,2657,3,3
0.4466893857889801,5,NA,NA,NA,NA,2017,9,3769,NA,NA
1.1670173924929332,6,3,0,2,17,2008,3,673,1,1
0.7929662727122895,4,6,1,4,28,2012,7,1857,1,2
0.7924694744114348,6,3,1,4,22,2012,7,1872,1,2
0.7448445584651275,3,6,1,6,26,2016,7,3431,1,2
-0.6475289230971553,4,6,1,6,27,2013,8,2250,2,2
0.3789540864875594,6,6,0,6,18,2015,3,3042,1,1
1.2195157451447247,3,6,1,4,28,2007,5,331,1,2
0.7885070391522928,4,2,0,4,17,2008,3,415,2,1
0.34818292955150054,4,NA,NA,NA,NA,2017,7,3976,NA,NA
0.757739978083537,4,NA,1,NA,25,2011,6,1731,2,2
-0.2369033446620788,4,6,0,4,62,2013,8,2375,1,6
0.44842769710482644,4,6,0,NA,23,2010,5,1381,1,2
0.6501493265964711,5,6,1,2,19,2012,5,1863,1,1
-0.4737322009608307,3,5,1,6,27,2008,6,415,5,2
1.069970238315961,2,6,0,4,22,2014,5,2869,1,2
0.6696357657761434,6,NA,NA,NA,NA,2017,5,3676,NA,NA
0.08442212401168354,5,NA,NA,NA,NA,2014,NA,2642,NA,NA
-0.04942043168226301,7,1,0,4,18,2012,5,2122,1,1
-0.13097632864926187,5,NA,NA,NA,NA,2017,3,3920,NA,NA
0.6993088707344478,5,6,1,5,17,2012,5,2167,4,1
0.3151897820267994,5,6,1,1,21,2013,7,2235,1,2
0.6670937828837811,3,6,1,4,15,2015,2,3188,1,1
0.29612375786834955,3,6,1,3,23,2011,5,1739,1,2
0.05930351145237096,3,9,1,NA,17,2008,4,455,3,1
-0.13659968214595244,6,2,1,5,21,2012,5,2047,2,2
0.8434880669248601,4,6,0,2,29,2011,8,1487,2,2
0.33040479778661236,3,6,1,5,20,2012,5,1956,1,1
0.7221276004978249,5,6,1,7,18,2008,5,420,1,1
0.43965601431204143,4,6,1,2,21,2008,4,667,2,2
1.103510276779567,7,5,0,6,20,2014,4,2893,3,1
0.792375447185486,6,6,1,7,13,2016,2,3470,4,1
0.35764590942947194,4,6,0,4,35,2009,4,1034,3,3
0.9281597561309103,5,6,1,7,18,2009,4,795,4,1
0.34803549060784184,6,6,0,5,58,2007,8,333,3,5
0.11541924415189497,4,6,1,4,25,2013,4,2345,1,2
0.20615517521350057,5,6,1,6,29,2016,8,3368,1,2
0.3137749507766266,4,9,1,4,18,2013,5,2528,1,1
0.7603300735516338,3,5,0,6,23,2010,5,1397,1,2
0.2902182468561968,4,6,1,2,17,2013,3,2350,1,1
0.3168405081242602,4,6,1,5,20,2013,5,2230,1,1
0.37408037134068606,4,2,0,6,22,2008,5,611,1,2
-0.017456209668507333,4,6,0,6,16,2010,3,1102,1,1
0.7674179125644209,4,NA,NA,NA,NA,2017,3,3952,NA,NA
0.18321718008236906,6,6,1,3,45,2010,5,1251,3,4
1.2058225363442558,5,8,1,4,21,2012,5,1927,1,2
0.006102769441398445,6,8,1,5,39,2007,6,107,5,3
0.15134356794003287,5,3,0,4,34,2013,9,2454,1,3
-0.12675305540092321,5,6,1,4,21,2014,NA,2685,4,2
0.703258900551907,4,6,1,3,54,2010,9,1227,2,5
0.208895685111125,4,NA,NA,NA,NA,2017,2,3770,NA,NA
0.4296646798130589,4,6,1,4,21,2015,7,3189,1,2
0.3065879047850286,7,1,1,3,25,2013,5,2404,2,2
-0.3419732238286709,7,NA,NA,NA,NA,2017,7,3697,NA,NA
0.5207430879774988,5,6,1,5,21,2010,7,1150,1,2
